"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Admiral Schofield","ORL","SF,PF","26","17","7","0","1",".385",".000","6","5","23","84","0","4","1.40","9"
"Mouhamadou Gueye","TOR","C,PF","26","23","5","18","3",".290",".444","0","12","11","120","4","11","0.42","15"
"Colin Castleton","LAL","C,PF TWO-WAY","24","12","3","0","2",".563","1.000","0","3","16","59","6","9","1.00","11"
"Mouhamed Gueye","ATL","PF","24","22","4","4","5",".348",".833","3","1","6","73","5","5","4.00","13"
"Ish Wainright","PHO","PF,SF","23","14","1","1","4",".292","1.000","7","2","11","62","2","0","0.50","8"
"Isaiah Mobley","CLE","C,PF G-League","23","10","6","0","2",".417",".000","3","2","10","72","0","7","3.00","6"
"Jay Huff","DEN","C TWO-WAY","23","11","2","3","2",".600","1.000","3","1","20","49","2","6","2.00","9"
"Amari Bailey","CHA","PG,SF,SG","23","9","7","0","3",".333",".857","1","4","10","65","6","7","1.75","2"
"RaiQuan Gray","SAS","PF TWO-WAY","23","7","6","1","1",".588",".000","3","1","3","39","0","7","6.00","0"
"Braxton Key","DEN","SF TWO-WAY","22","18","9","1","2",".412",".750","2","1","20","60","6","5","9.00","5"
"Dexter Dennis","FA","SG FA","22","9","4","1","0",".526",".333","1","3","4","30","1","9","1.33","1"
"Jamaree Bouyea","SAS","PG","21","19","11","0","1",".357",".000","1","9","9","95","0","9","1.22","10"
"Kendall Brown","IND","SF,SG","21","5","5","0","0",".533",".625","0","2","15","63","5","8","2.50","9"
"Hunter Tyson","DEN","PF,SF","20","9","2","0","1",".400",".000","4","2","18","48","0","4","1.00","10"
"Kobi Simmons","TOR","PG,SG","20","7","12","2","6",".429",".000","2","1","4","67","0","7","12.00","5"
"Jermaine Samuels Jr.","HOU","SF TWO-WAY","20","13","3","2","1",".643","1.000","0","0","14","60","2","9","0.00","5"
"Malik Williams","TOR","C","19","38","2","4","3",".265",".000","1","3","7","107","0","8","0.67","15"
"Robin Lopez","FA","C FA","18","5","4","3","1",".368","1.000","2","2","16","65","2","5","2.00","7"
"Taze Moore","POR","SG","18","8","5","0","2",".421",".500","1","3","4","40","1","7","1.67","4"
"Wendell Moore Jr.","MIN","SF,SG G-League","18","12","6","1","5",".500",".000","0","4","25","75","0","9","1.50","5"
"Wenyen Gabriel","MEM","C,PF,SF","17","25","3","2","2",".364",".000","1","8","5","81","0","7","0.38","10"
"JD Davison","BOS","PG,SG","16","10","10","1","1",".417",".750","3","2","8","39","3","2","5.00","4"
"Jordan Walsh","BOS","SF","15","20","5","1","5",".400",".500","2","3","9","83","1","4","1.67","11"
"Greg Brown III","DAL","PF,SF","15","9","4","4","0",".455",".444","1","4","6","40","4","4","1.00","5"
"Alex Fudge","DAL","SF","15","5","0","0","3",".400","1.000","1","2","6","40","2","5","0.00","2"
"DaQuan Jeffries","NYK","SF,SG","14","5","5","1","0",".353",".000","2","3","17","46","0","4","1.67","2"
"Seth Lundy","ATL","SF,SG G-League","14","7","0","0","0",".235",".750","3","1","10","52","3","1","0.00","6"
"D'Moi Hodge","FA","SG FA","14","0","5","1","1",".333",".500","3","1","7","41","1","2","5.00","4"
"Dereon Seabron","NOR","SF,SG","14","7","5","1","2",".308",".833","1","0","6","55","5","3","0.00","4"
"TyTy Washington Jr.","MIL","PG G-League","14","5","5","0","3",".300",".000","2","2","11","56","0","4","2.50","1"
"Jacob Toppin","NYK","SF","13","7","3","1","0",".556","1.000","1","1","9","38","2","4","3.00","3"
"Timmy Allen","MEM","SF","13","17","5","0","4",".261",".500","0","2","5","125","1","6","2.50","18"
"Jordan Miller","LAC","SF TWO-WAY","13","5","0","0","0",".556","1.000","1","1","8","28","2","4","0.00","2"
"Mamadi Diakite","NYK","C,PF","12","4","2","1","1",".667",".667","0","1","6","24","4","4","2.00","2"
"Jason Preston","UTH","PG","12","17","16","1","2",".316",".000","0","2","7","71","0","6","8.00","3"
"Jordan Ford","SAC","PG TWO-WAY","12","2","2","0","0",".571","1.000","2","1","6","22","2","2","2.00","0"
"Maxwell Lewis","LAL","SF","11","4","6","1","2",".191",".667","1","10","34","103","2","3","0.60","5"
"Keyontae Johnson","OKC","SF,SG TWO-WAY","11","10","4","0","1",".313",".000","1","4","9","66","0","4","1.00","5"
"D.J. Carton","TOR","PG","11","4","3","0","1",".375",".800","1","1","4","36","4","2","3.00","3"
"Drew Peterson","BOS","SF TWO-WAY","11","1","1","0","2",".667",".000","3","1","3","23","0","1","1.00","1"
"Henri Drell","CHI","SF","11","4","4","1","2",".400",".500","2","2","4","30","1","2","2.00","6"
"D.J. Wilson","PHI","PF,C","10","2","2","2","0",".667",".000","2","0","2","15","0","2","0.00","1"
"RJ Hampton Jr.","WAS","PG,SG","10","6","8","0","0",".286",".500","1","3","8","76","1","3","2.67","8"
"James Johnson","IND","PF","8","4","8","1","5",".300","1.000","0","5","9","47","2","3","1.60","9"
"Jalen Slawson","SAC","PF,SF TWO-WAY","8","7","2","1","1",".667",".000","0","2","12","37","0","4","1.00","8"
"Isaiah Thomas","PHO","PG","8","0","3","0","0",".300",".000","2","0","6","19","0","1","0.00","0"
"Juan Toscano-Anderson","FA","SF,PF FA","7","14","4","1","1",".250",".000","1","2","11","53","0","2","2.00","11"
